CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,IPC,356,1,1
1,IPC,379,1,1
2,IPC,356,1,1
2,IPC,379,1,1
3,IPC,356,1,1
3,IPC,379,1,1
4,IPC,356,1,1
4,IPC,379,1,1
5,IPC,356,1,1
5,IPC,379,1,1
6,IPC,356,1,1
6,IPC,379,1,1
7,IPC,356,1,1
7,IPC,379,1,1
8,IPC,457,1,1
8,IPC,380,1,1
9,IPC,457,1,1
9,IPC,380,1,1
10,IPC,457,1,1
10,IPC,380,1,1
11,IPC,457,1,1
11,IPC,380,1,1
12,IPC,457,1,1
12,IPC,380,1,1
13,IPC,457,1,1
13,IPC,380,1,1
14,IPC,379,1,1
15,IPC,379,1,1
16,IPC,379,1,1
17,IPC,379,1,1
18,IPC,379,1,1
19,IPC,379,1,1
20,IPC,379,1,1
21,IPC,379,1,1
22,IPC,392,1,1
23,IPC,392,1,1
24,IPC,392,1,1
25,IPC,392,1,1
26,IPC,392,1,1
27,IPC,392,1,1
28,IPC,457,1,1
28,IPC,380,1,1
29,IPC,457,1,1
29,IPC,380,1,1
30,IPC,457,1,1
30,IPC,380,1,1
31,IPC,457,1,1
31,IPC,380,1,1
32,IPC,457,1,1
32,IPC,380,1,1
33,IPC,356,1,1
33,IPC,379,1,1
34,IPC,356,1,1
34,IPC,379,1,1
35,IPC,356,1,1
35,IPC,379,1,1
36,IPC,356,1,1
36,IPC,379,1,1
37,IPC,356,1,1
37,IPC,379,1,1
38,IPC,356,1,1
38,IPC,379,1,1
39,IPC,356,1,1
39,IPC,379,1,1
40,IPC,356,1,1
40,IPC,379,1,1
41,IPC,356,1,1
41,IPC,379,1,1
42,IPC,356,1,1
42,IPC,379,1,1
43,IPC,356,1,1
43,IPC,379,1,1
44,IPC,356,1,1
44,IPC,379,1,1
45,IPC,379,1,1
46,IPC,379,1,1
47,IPC,379,1,1
48,IPC,379,1,1
49,IPC,379,1,1
50,IPC,379,1,1
51,IPC,392,1,1
52,IPC,392,1,1
53,IPC,392,1,1
54,IPC,392,1,1
55,IPC,392,1,1
56,IPC,457,1,1
56,IPC,380,1,1
57,IPC,457,1,1
57,IPC,380,1,1
58,IPC,457,1,1
58,IPC,380,1,1
59,IPC,457,1,1
59,IPC,380,1,1
60,IPC,457,1,1
60,IPC,380,1,1
61,IPC,457,1,1
61,IPC,380,1,1
62,IPC,356,1,1
62,IPC,379,1,1
63,IPC,356,1,1
63,IPC,379,1,1
64,IPC,356,1,1
64,IPC,379,1,1
65,IPC,356,1,1
65,IPC,379,1,1
66,IPC,356,1,1
66,IPC,379,1,1
67,IPC,356,1,1
67,IPC,379,1,1
68,IPC,307,1,1
69,IPC,307,1,1
70,IPC,307,1,1
71,IPC,307,1,1
72,IPC,307,1,1
73,IPC,379,1,1
74,IPC,379,1,1
75,IPC,379,1,1
76,IPC,379,1,1
77,IPC,379,1,1
78,IPC,379,1,1
79,IPC,307,1,1
80,IPC,379,1,1
80,IPC,411,1,1
81,IPC,354,1,1
82,IPC,379,1,1
82,IPC,411,1,1
83,IPC,457,1,1
83,IPC,380,1,1
84,IPC,379,1,1
85,IPC,356,1,1
85,IPC,379,1,1
86,IPC,354,1,1
87,IPC,356,1,1
87,IPC,379,1,1
88,IPC,379,1,1
89,IPC,323,1,1
90,IPC,420,1,1
91,IPC,420,1,1
92,IPC,307,1,1
93,IPC,420,1,1
94,IPC,420,1,1
95,IPC,307,1,1
96,IPC,379,1,1
96,IPC,411,1,1
97,IPC,392,1,1
98,IPC,354,1,1
99,IPC,392,1,1
100,IPC,307,1,1
101,IPC,457,1,1
101,IPC,380,1,1
102,IPC,323,1,1
103,IPC,302,1,1
104,IPC,379,1,1
104,IPC,411,1,1
105,IPC,379,1,1
105,IPC,411,1,1
106,IPC,420,1,1
107,IPC,420,1,1
108,IPC,323,1,1
109,IPC,307,1,1
110,IPC,379,1,1
110,IPC,411,1,1
111,IPC,379,1,1
112,IPC,307,1,1
113,IPC,457,1,1
113,IPC,380,1,1
114,IPC,379,1,1
114,IPC,411,1,1
115,IPC,323,1,1
116,IPC,354,1,1
117,IPC,379,1,1
117,IPC,411,1,1
118,IPC,379,1,1
119,IPC,379,1,1
119,IPC,411,1,1
120,IPC,457,1,1
120,IPC,380,1,1
121,IPC,302,1,1
122,IPC,379,1,1
122,IPC,411,1,1
123,IPC,457,1,1
123,IPC,380,1,1
124,IPC,354,1,1
125,IPC,420,1,1
126,IPC,420,1,1
127,IPC,354,1,1
128,IPC,392,1,1
129,IPC,420,1,1
130,IPC,379,1,1
131,IPC,323,1,1
132,IPC,354,1,1
133,IPC,379,1,1
134,IPC,379,1,1
135,IPC,379,1,1
136,IPC,420,1,1
137,IPC,307,1,1
138,IPC,307,1,1
139,IPC,307,1,1
140,IPC,354,1,1
141,IPC,323,1,1
142,IPC,457,1,1
142,IPC,380,1,1
143,IPC,302,1,1
144,IPC,420,1,1
145,IPC,307,1,1
146,IPC,354,1,1
147,IPC,302,1,1
148,IPC,307,1,1
149,IPC,354,1,1
150,IPC,323,1,1
151,IPC,323,1,1
152,IPC,302,1,1
153,IPC,392,1,1
154,IPC,379,1,1
154,IPC,411,1,1
155,IPC,420,1,1
156,IPC,420,1,1
157,IPC,307,1,1
158,IPC,379,1,1
158,IPC,411,1,1
159,IPC,356,1,1
159,IPC,379,1,1
160,IPC,323,1,1
161,IPC,302,1,1
162,IPC,323,1,1
