ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,80,2,2025-09-30,29,571,24,1223,5019,80,1,0
2,81,2,2026-02-11,29,569,69,1067,5015,81,1,0
3,82,1,2025-02-04,29,566,46,1032,5003,82,1,0
4,83,1,2024-07-11,29,581,27,1206,5010,84,1,0
5,86,2,2024-08-20,29,572,3,1058,5012,89,1,0
6,87,1,2026-04-26,29,577,16,1255,5006,90,1,0
7,91,1,2024-03-28,29,584,10,1239,5010,94,1,0
8,93,1,2025-09-23,29,572,3,1058,5009,96,1,0
9,95,2,2025-08-23,29,584,7,1236,5008,99,1,0
10,97,2,2025-11-04,29,581,27,1010,5002,101,1,0
11,98,2,2025-11-11,29,565,59,1139,5009,103,1,0
12,100,1,2024-08-26,29,574,36,1033,5005,105,1,0
13,102,2,2026-06-12,29,568,39,1273,5013,108,1,0
14,104,2,2025-07-17,29,572,2,1062,5008,110,1,0
15,105,1,2025-06-21,29,571,23,1147,5004,112,1,0
16,106,1,2025-08-14,29,575,64,1040,5020,114,1,0
17,107,2,2026-05-28,29,583,4,1072,5015,116,1,0
18,110,2,2025-08-17,29,574,36,1014,5023,119,1,0
19,111,2,2025-11-17,29,579,58,1041,5016,121,1,0
20,113,1,2024-08-21,29,575,63,1085,5007,123,1,0
21,115,2,2025-02-18,29,578,20,1256,5023,125,1,0
22,116,1,2025-05-28,29,574,35,1235,5015,126,1,0
23,119,1,2026-04-25,29,565,61,1059,5004,130,1,0
24,120,1,2025-06-10,29,572,2,1120,5020,132,1,0
25,124,2,2024-03-24,29,579,58,1141,5024,137,1,0
26,125,1,2024-03-26,29,581,29,1059,5004,139,1,0
27,128,1,2025-09-11,29,579,57,1159,5002,143,1,0
28,131,1,2026-04-30,29,571,24,1205,5022,146,1,0
29,132,1,2025-11-21,29,584,9,1061,5009,147,1,0
30,133,1,2024-06-06,29,568,37,1183,5014,148,1,0
31,137,2,2026-07-06,29,562,54,1234,5003,154,1,0
32,138,1,2024-03-29,29,581,29,1116,5020,156,1,0
33,139,1,2025-04-03,29,577,18,1171,5018,157,1,0
34,141,1,2024-06-03,29,577,15,1036,5022,160,1,0
35,142,1,2026-07-08,29,573,13,1222,5015,162,1,0
36,143,2,2025-09-28,29,568,37,1027,5007,163,1,0
37,144,2,2026-05-05,29,573,14,1066,5025,164,1,0
38,146,2,2026-10-17,29,568,39,1229,5013,167,1,0
39,148,1,2026-01-14,29,573,13,1164,5008,170,1,0
40,150,2,2026-07-27,29,574,35,1023,5018,173,1,0
41,151,2,2026-01-01,29,566,47,1076,5025,175,1,0
42,153,1,2024-09-10,29,568,39,1184,5004,178,1,0
43,154,2,2025-12-03,29,567,41,1272,5007,179,1,0
44,155,2,2025-11-05,29,579,55,1040,5010,180,1,0
45,156,2,2024-05-13,29,565,59,1265,5008,182,1,0
46,158,2,2026-01-11,29,578,21,1089,5012,184,1,0
47,159,1,2025-12-27,29,568,37,1121,5011,185,1,0
48,161,2,2025-06-10,29,571,24,1194,5015,187,1,0
49,163,1,2026-08-04,29,574,34,1104,5010,189,1,0
