InvOccuranceTimeID,CaseMasterID,OccuranceFromDate,OccuranceToDate,DayNight
1,1,2025-03-24 21:50:00,2025-03-25 00:50:00,Night
2,2,2025-04-01 23:55:00,2025-04-02 00:55:00,Night
3,3,2025-04-19 23:38:00,2025-04-19 23:38:00,Night
4,4,2025-04-26 01:09:00,2025-04-26 03:09:00,Night
5,5,2025-04-25 01:17:00,2025-04-25 01:17:00,Night
6,6,2025-04-28 23:10:00,2025-04-29 02:10:00,Night
7,7,2025-05-11 02:43:00,2025-05-11 03:43:00,Night
8,8,2024-06-15 23:46:00,2024-06-16 00:46:00,Night
9,9,2024-06-20 23:13:00,2024-06-21 02:13:00,Night
10,10,2024-07-05 02:43:00,2024-07-05 02:43:00,Night
11,11,2024-07-06 02:20:00,2024-07-06 03:20:00,Night
12,12,2024-07-13 01:22:00,2024-07-13 01:22:00,Night
13,13,2024-07-10 01:54:00,2024-07-10 01:54:00,Night
14,14,2025-04-04 11:32:00,2025-04-04 14:32:00,Day
15,15,2025-04-16 13:46:00,2025-04-16 13:46:00,Day
16,16,2025-04-20 16:44:00,2025-04-20 16:44:00,Day
17,17,2025-04-25 11:09:00,2025-04-25 12:09:00,Day
18,18,2025-05-06 15:25:00,2025-05-06 16:25:00,Day
19,19,2025-05-19 11:01:00,2025-05-19 11:01:00,Day
20,20,2025-05-28 14:28:00,2025-05-28 14:28:00,Day
21,21,2025-06-13 15:24:00,2025-06-13 18:24:00,Day
22,22,2024-07-26 02:36:00,2024-07-26 03:36:00,Night
23,23,2024-08-05 21:01:00,2024-08-06 00:01:00,Night
24,24,2024-08-11 02:52:00,2024-08-11 05:52:00,Night
25,25,2024-08-19 23:20:00,2024-08-20 01:20:00,Night
26,26,2024-09-16 01:06:00,2024-09-16 03:06:00,Night
27,27,2024-08-20 01:41:00,2024-08-20 03:41:00,Night
28,28,2024-02-03 10:13:00,2024-02-03 13:13:00,Day
29,29,2024-02-15 14:14:00,2024-02-15 17:14:00,Day
30,30,2024-02-29 12:07:00,2024-02-29 15:07:00,Day
31,31,2024-03-01 17:58:00,2024-03-01 17:58:00,Day
32,32,2024-03-10 16:09:00,2024-03-10 19:09:00,Day
33,33,2025-04-28 13:58:00,2025-04-28 15:58:00,Day
34,34,2025-05-06 14:23:00,2025-05-06 17:23:00,Day
35,35,2025-05-14 13:43:00,2025-05-14 14:43:00,Day
36,36,2025-05-25 16:37:00,2025-05-25 16:37:00,Day
37,37,2025-05-18 16:42:00,2025-05-18 19:42:00,Day
38,38,2025-06-27 12:47:00,2025-06-27 14:47:00,Day
39,39,2025-02-24 15:26:00,2025-02-24 17:26:00,Day
40,40,2025-03-08 11:08:00,2025-03-08 12:08:00,Day
41,41,2025-03-10 11:24:00,2025-03-10 13:24:00,Day
42,42,2025-03-17 13:46:00,2025-03-17 15:46:00,Day
43,43,2025-04-17 14:30:00,2025-04-17 14:30:00,Day
44,44,2025-04-10 13:22:00,2025-04-10 16:22:00,Day
45,45,2024-09-23 21:54:00,2024-09-23 22:54:00,Night
46,46,2024-10-05 23:53:00,2024-10-05 23:53:00,Night
47,47,2024-10-17 01:07:00,2024-10-17 02:07:00,Night
48,48,2024-10-08 22:32:00,2024-10-08 22:32:00,Night
49,49,2024-11-10 23:07:00,2024-11-11 01:07:00,Night
50,50,2024-11-12 01:07:00,2024-11-12 03:07:00,Night
51,51,2025-03-08 21:59:00,2025-03-08 21:59:00,Night
52,52,2025-03-22 02:56:00,2025-03-22 04:56:00,Night
53,53,2025-03-28 22:45:00,2025-03-29 00:45:00,Night
54,54,2025-03-29 21:42:00,2025-03-29 21:42:00,Night
55,55,2025-04-13 21:59:00,2025-04-13 23:59:00,Night
56,56,2024-04-16 02:16:00,2024-04-16 03:16:00,Night
57,57,2024-04-27 02:34:00,2024-04-27 04:34:00,Night
58,58,2024-05-08 23:34:00,2024-05-09 02:34:00,Night
59,59,2024-05-19 21:13:00,2024-05-19 21:13:00,Night
60,60,2024-05-26 21:24:00,2024-05-26 21:24:00,Night
61,61,2024-06-15 22:34:00,2024-06-16 00:34:00,Night
62,62,2025-11-22 13:07:00,2025-11-22 13:07:00,Day
63,63,2025-12-06 14:44:00,2025-12-06 15:44:00,Day
64,64,2025-12-12 14:31:00,2025-12-12 15:31:00,Day
65,65,2025-12-31 17:41:00,2025-12-31 20:41:00,Day
66,66,2026-01-17 12:47:00,2026-01-17 14:47:00,Day
67,67,2025-12-22 14:53:00,2025-12-22 16:53:00,Day
68,68,2025-04-25 22:10:00,2025-04-26 01:10:00,Night
69,69,2025-05-09 22:03:00,2025-05-10 00:03:00,Night
70,70,2025-05-19 02:37:00,2025-05-19 05:37:00,Night
71,71,2025-06-03 01:23:00,2025-06-03 01:23:00,Night
72,72,2025-06-20 02:07:00,2025-06-20 02:07:00,Night
73,73,2025-02-13 12:54:00,2025-02-13 15:54:00,Day
74,74,2025-02-19 11:16:00,2025-02-19 13:16:00,Day
75,75,2025-03-13 12:43:00,2025-03-13 15:43:00,Day
76,76,2025-03-09 13:29:00,2025-03-09 15:29:00,Day
77,77,2025-04-02 11:16:00,2025-04-02 11:16:00,Day
78,78,2025-03-20 13:31:00,2025-03-20 14:31:00,Day
79,79,2025-05-17 05:48:00,2025-05-17 05:48:00,Night
80,80,2025-07-15 08:15:00,2025-07-15 09:15:00,Day
81,81,2026-01-07 10:50:00,2026-01-07 12:50:00,Day
82,82,2024-11-28 21:32:00,2024-11-28 21:32:00,Night
83,83,2024-06-19 12:06:00,2024-06-19 13:06:00,Day
84,84,2025-10-08 23:40:00,2025-10-08 23:40:00,Night
85,85,2024-07-12 13:56:00,2024-07-12 15:56:00,Day
86,86,2024-07-09 03:18:00,2024-07-09 06:18:00,Night
87,87,2026-02-25 22:15:00,2026-02-25 22:15:00,Night
88,88,2025-08-21 03:25:00,2025-08-21 03:25:00,Night
89,89,2026-01-11 04:16:00,2026-01-11 05:16:00,Night
90,90,2024-11-24 23:04:00,2024-11-25 00:04:00,Night
91,91,2024-01-14 06:41:00,2024-01-14 06:41:00,Day
92,92,2026-06-23 03:10:00,2026-06-23 06:10:00,Night
93,93,2025-06-14 04:56:00,2025-06-14 06:56:00,Night
94,94,2024-03-21 01:58:00,2024-03-21 02:58:00,Night
95,95,2025-07-15 12:16:00,2025-07-15 13:16:00,Day
96,96,2024-12-24 19:52:00,2024-12-24 20:52:00,Night
97,97,2025-07-13 16:48:00,2025-07-13 19:48:00,Day
98,98,2025-07-28 22:01:00,2025-07-28 22:01:00,Night
99,99,2025-03-12 09:58:00,2025-03-12 10:58:00,Day
100,100,2024-06-04 06:06:00,2024-06-04 09:06:00,Day
101,101,2025-03-25 19:31:00,2025-03-25 19:31:00,Night
102,102,2026-03-03 09:29:00,2026-03-03 12:29:00,Day
103,103,2025-06-20 22:24:00,2025-06-20 23:24:00,Night
104,104,2025-04-14 15:54:00,2025-04-14 17:54:00,Day
105,105,2025-04-11 23:37:00,2025-04-12 01:37:00,Night
106,106,2025-06-16 23:40:00,2025-06-17 02:40:00,Night
107,107,2026-05-02 05:12:00,2026-05-02 08:12:00,Night
108,108,2026-05-12 05:36:00,2026-05-12 07:36:00,Night
109,109,2024-06-06 06:21:00,2024-06-06 08:21:00,Day
110,110,2025-06-29 10:49:00,2025-06-29 12:49:00,Day
111,111,2025-09-23 11:19:00,2025-09-23 12:19:00,Day
112,112,2026-05-16 05:18:00,2026-05-16 06:18:00,Night
113,113,2024-04-27 18:38:00,2024-04-27 19:38:00,Day
114,114,2026-01-05 11:05:00,2026-01-05 14:05:00,Day
115,115,2024-10-22 21:08:00,2024-10-23 00:08:00,Night
116,116,2025-02-24 17:36:00,2025-02-24 17:36:00,Day
117,117,2024-06-20 01:44:00,2024-06-20 04:44:00,Night
118,118,2025-01-13 05:16:00,2025-01-13 08:16:00,Night
119,119,2026-02-03 17:14:00,2026-02-03 19:14:00,Day
120,120,2025-02-25 03:33:00,2025-02-25 03:33:00,Night
121,121,2024-06-14 02:17:00,2024-06-14 05:17:00,Night
122,122,2024-01-20 15:09:00,2024-01-20 18:09:00,Day
123,123,2025-07-01 10:05:00,2025-07-01 10:05:00,Day
124,124,2024-01-17 01:21:00,2024-01-17 02:21:00,Night
125,125,2024-03-05 06:27:00,2024-03-05 08:27:00,Day
126,126,2025-03-02 22:51:00,2025-03-02 23:51:00,Night
127,127,2024-08-12 14:49:00,2024-08-12 16:49:00,Day
128,128,2025-08-29 18:20:00,2025-08-29 21:20:00,Day
129,129,2024-10-14 04:07:00,2024-10-14 07:07:00,Night
130,130,2025-03-03 01:02:00,2025-03-03 02:02:00,Night
131,131,2026-03-19 11:40:00,2026-03-19 11:40:00,Day
132,132,2025-07-28 22:49:00,2025-07-28 22:49:00,Night
133,133,2024-03-19 03:10:00,2024-03-19 06:10:00,Night
134,134,2024-08-20 15:23:00,2024-08-20 16:23:00,Day
135,135,2025-04-04 17:10:00,2025-04-04 19:10:00,Day
136,136,2025-08-20 16:14:00,2025-08-20 18:14:00,Day
137,137,2026-04-02 14:18:00,2026-04-02 17:18:00,Day
138,138,2024-01-28 00:09:00,2024-01-28 02:09:00,Night
139,139,2024-12-31 05:03:00,2024-12-31 07:03:00,Night
140,140,2026-05-01 06:50:00,2026-05-01 08:50:00,Day
141,141,2024-03-20 00:49:00,2024-03-20 00:49:00,Night
