CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,105720001202500001,202500001,2025-03-25 07:50:00,1234,1,1,2,2,10,1,5019,2025-03-24 21:50:00,2025-03-25 00:50:00,2025-03-25 05:50:00,12.820294,77.529227,Two men on a black motorcycle snatched a gold chain from a woman near a park gate at about 9:50 PM. The pillion rider grabbed the chain and they sped away into the residential layout.
2,105720001202500002,202500002,2025-04-03 14:55:00,1060,1,1,2,2,10,1,5025,2025-04-01 23:55:00,2025-04-02 00:55:00,2025-04-03 12:55:00,12.858535,77.517126,Two men on a black motorcycle snatched a gold chain from a woman near a temple at about 11:55 PM. The pillion rider grabbed the chain and they sped away towards the ring road.
3,105720002202500001,202500001,2025-04-22 01:38:00,1263,2,1,2,2,10,1,5022,2025-04-19 23:38:00,2025-04-19 23:38:00,2025-04-21 20:38:00,12.871929,77.657017,Two men on a black motorcycle snatched a gold chain from a woman near a vegetable market at about 11:38 PM. The pillion rider grabbed the chain and they sped away into a bylane.
4,105720001202500003,202500003,2025-04-28 13:09:00,1047,1,1,2,2,10,1,5013,2025-04-26 01:09:00,2025-04-26 03:09:00,2025-04-28 10:09:00,12.833923,77.549925,Two men on a black motorcycle snatched a gold chain from a woman near a hospital gate at about 1:09 AM. The pillion rider grabbed the chain and they sped away into the residential layout.
5,105720002202500002,202500002,2025-04-27 04:17:00,1248,2,1,2,2,10,1,5011,2025-04-25 01:17:00,2025-04-25 01:17:00,2025-04-27 00:17:00,12.889047,77.656622,Two men on a black motorcycle snatched a gold chain from a woman near a school at about 1:17 AM. The pillion rider grabbed the chain and they sped away into the residential layout.
6,105720001202500004,202500004,2025-05-01 03:10:00,1084,1,1,2,2,10,1,5002,2025-04-28 23:10:00,2025-04-29 02:10:00,2025-05-01 01:10:00,12.811748,77.551778,Two men on a black motorcycle snatched a gold chain from a woman near a jewellery shop at about 11:10 PM. The pillion rider grabbed the chain and they sped away towards the bus stand.
7,105720003202500001,202500001,2025-05-11 12:43:00,1216,3,1,2,2,10,1,5023,2025-05-11 02:43:00,2025-05-11 03:43:00,2025-05-11 07:43:00,12.983822,77.667259,Two men on a black motorcycle snatched a gold chain from a woman near a wedding hall at about 2:43 AM. The pillion rider grabbed the chain and they sped away towards the market.
8,105770016202400001,202400001,2024-06-18 11:46:00,1044,16,1,2,2,11,1,5004,2024-06-15 23:46:00,2024-06-16 00:46:00,2024-06-18 07:46:00,12.251068,76.557006,Entry was made through the rear ventilator while the house was locked and the family away. Gold ornaments and cash were taken from the bedroom almirah near a park gate.
9,105770017202400001,202400001,2024-06-23 07:13:00,1122,17,1,2,2,11,1,5016,2024-06-20 23:13:00,2024-06-21 02:13:00,2024-06-23 05:13:00,12.184562,76.386077,Entry was made through the rear ventilator while the house was locked and the family away. Gold ornaments and cash were taken from the bedroom almirah near a vegetable market.
10,105770018202400001,202400001,2024-07-05 15:43:00,1110,18,1,2,2,11,1,5002,2024-07-05 02:43:00,2024-07-05 02:43:00,2024-07-05 15:43:00,12.110935,76.452431,Entry was made through the rear ventilator while the house was locked and the family away. Gold ornaments and cash were taken from the bedroom almirah near a bus stop.
