CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2025-06-23 07:50:00,C,1261
2,2,2025-05-19 14:55:00,C,1179
3,3,2025-05-29 01:38:00,C,1210
4,4,2025-08-14 13:09:00,C,1188
5,5,2025-05-22 04:17:00,C,1050
6,6,2025-08-09 03:10:00,C,1156
7,7,2025-07-31 12:43:00,C,1036
8,8,2024-10-12 11:46:00,C,1063
9,9,2024-07-27 07:13:00,C,1123
10,10,2024-09-13 15:43:00,C,1259
11,11,2024-08-08 02:20:00,C,1222
12,12,2024-11-09 04:22:00,C,1015
13,13,2024-08-06 05:54:00,C,1006
14,14,2025-05-31 14:32:00,C,1159
15,15,2025-06-18 12:46:00,C,1000
16,16,2025-07-05 10:44:00,C,1066
17,17,2025-07-14 03:09:00,C,1157
18,18,2025-06-09 11:25:00,C,1236
19,19,2025-08-09 05:01:00,C,1025
20,20,2025-07-24 06:28:00,C,1196
21,21,2025-09-09 00:24:00,C,1183
22,22,2024-11-03 01:36:00,C,1112
23,23,2024-11-09 21:01:00,C,1051
24,24,2024-12-09 02:52:00,C,1016
25,25,2024-12-20 00:20:00,C,1055
26,26,2024-11-09 04:06:00,C,1053
27,27,2024-12-03 01:41:00,C,1144
28,28,2024-05-18 03:13:00,C,1135
29,29,2024-06-11 19:14:00,C,1116
30,30,2024-04-15 14:07:00,C,1075
31,31,2024-06-30 14:58:00,C,1146
32,32,2024-05-04 03:09:00,C,1190
33,33,2025-08-19 17:58:00,C,1259
34,34,2025-08-10 14:23:00,C,1179
35,35,2025-08-27 01:43:00,C,1088
36,36,2025-08-17 18:37:00,C,1032
37,37,2025-09-10 04:42:00,C,1018
38,38,2025-09-04 15:47:00,C,1133
39,39,2025-06-05 15:26:00,C,1090
40,40,2025-07-02 00:08:00,C,1191
41,41,2025-05-25 12:24:00,C,1068
42,42,2025-07-14 10:46:00,C,1273
43,43,2025-08-01 01:30:00,C,1266
44,44,2025-06-13 07:22:00,C,1120
45,45,2025-01-07 20:54:00,C,1087
46,46,2024-11-17 13:53:00,C,1053
47,47,2025-01-30 10:07:00,C,1173
48,48,2025-01-01 23:32:00,C,1114
49,49,2025-02-04 19:07:00,C,1105
50,50,2025-03-01 07:07:00,C,1054
51,51,2025-06-06 13:59:00,C,1024
52,52,2025-05-20 15:56:00,C,1231
53,53,2025-06-30 22:45:00,C,1245
54,54,2025-07-17 17:42:00,C,1151
55,55,2025-05-31 12:59:00,C,1226
56,56,2024-06-17 14:16:00,C,1026
57,57,2024-06-15 03:34:00,C,1271
58,58,2024-06-03 10:34:00,C,1151
59,59,2024-06-18 15:13:00,C,1027
60,60,2024-08-02 21:24:00,C,1257
61,61,2024-07-09 10:34:00,C,1072
62,62,2026-01-09 09:07:00,C,1249
63,63,2026-04-07 22:44:00,C,1113
64,64,2026-02-04 21:31:00,C,1039
65,65,2026-03-28 00:41:00,C,1261
66,66,2026-03-09 13:47:00,C,1021
67,67,2026-03-01 19:53:00,C,1114
68,68,2025-07-17 10:10:00,C,1107
69,69,2025-06-10 05:03:00,C,1110
70,70,2025-06-29 09:37:00,C,1049
71,71,2025-08-17 16:23:00,C,1068
72,72,2025-07-31 11:07:00,C,1218
73,73,2025-06-15 00:54:00,C,1173
74,74,2025-06-11 05:16:00,C,1029
75,75,2025-05-19 03:43:00,C,1202
76,76,2025-05-13 03:29:00,C,1059
77,77,2025-07-22 00:16:00,C,1134
78,78,2025-06-29 04:31:00,C,1182
79,79,2025-09-06 02:48:00,C,1265
80,80,2025-08-16 20:15:00,A,1138
81,81,2026-03-01 20:50:00,A,1184
82,82,2025-01-08 05:32:00,A,1175
83,83,2024-08-09 16:06:00,A,1145
84,84,2026-01-05 13:40:00,C,1069
85,85,2024-09-06 19:56:00,B,1272
86,86,2024-10-26 09:18:00,A,1016
87,87,2026-06-21 05:15:00,A,1266
88,88,2025-09-18 15:25:00,C,1182
89,89,2026-02-09 12:16:00,C,1271
90,90,2025-01-08 12:04:00,C,1016
91,91,2024-03-01 13:41:00,A,1265
92,92,2026-10-15 06:10:00,C,1165
93,93,2025-09-16 07:56:00,A,1127
94,94,2024-05-01 05:58:00,C,1025
95,95,2025-08-14 00:16:00,A,1136
96,96,2025-02-20 00:52:00,C,1007
97,97,2025-10-24 19:48:00,A,1004
98,98,2025-11-06 06:01:00,A,1131
99,99,2025-06-24 08:58:00,C,1080
100,100,2024-09-23 15:06:00,A,1191
101,101,2025-06-21 18:31:00,C,1055
102,102,2026-05-03 16:29:00,A,1230
103,103,2025-10-19 00:24:00,C,1026
104,104,2025-07-23 02:54:00,A,1106
105,105,2025-06-13 12:37:00,A,1269
106,106,2025-08-28 03:40:00,A,1023
107,107,2026-08-25 13:12:00,A,1028
108,108,2026-06-29 22:36:00,C,1268
109,109,2024-07-01 17:21:00,C,1044
110,110,2025-09-30 18:49:00,A,1125
111,111,2025-11-10 16:19:00,A,1073
112,112,2026-08-16 03:18:00,C,1081
113,113,2024-07-31 03:38:00,A,1000
114,114,2026-04-15 17:05:00,B,1162
115,115,2025-01-30 00:08:00,A,1092
116,116,2025-05-21 20:36:00,A,1045
117,117,2024-07-20 16:44:00,C,1064
118,118,2025-05-06 10:16:00,C,1085
119,119,2026-04-20 04:14:00,A,1139
120,120,2025-06-15 08:33:00,A,1061
121,121,2024-07-17 17:17:00,C,1073
122,122,2024-05-12 23:09:00,C,1035
123,123,2025-10-11 09:05:00,C,1224
124,124,2024-04-08 09:21:00,A,1009
125,125,2024-04-12 16:27:00,A,1212
126,126,2025-06-24 07:51:00,C,1255
127,127,2024-10-10 10:49:00,C,1107
128,128,2025-10-07 01:20:00,A,1110
129,129,2024-12-01 09:07:00,C,1242
130,130,2025-05-08 11:02:00,C,1151
131,131,2026-06-26 19:40:00,A,1171
132,132,2025-08-26 04:49:00,A,1190
133,133,2024-07-11 15:10:00,A,1010
134,134,2024-09-26 17:23:00,C,1021
135,135,2025-07-29 23:10:00,B,1075
136,136,2025-11-01 16:14:00,C,1075
137,137,2026-05-03 20:18:00,A,1003
138,138,2024-05-01 01:09:00,A,1246
139,139,2025-03-01 15:03:00,A,1154
140,140,2026-06-14 08:50:00,C,1155
141,141,2024-07-14 08:49:00,A,1049
142,142,2026-06-02 02:48:00,A,1181
143,143,2025-10-13 08:02:00,A,1188
144,144,2026-04-04 15:04:00,A,1243
145,145,2024-10-02 04:38:00,C,1009
146,146,2026-09-16 09:10:00,A,1193
147,147,2025-05-29 07:03:00,C,1263
148,148,2026-03-30 03:13:00,A,1048
149,149,2026-02-15 23:11:00,C,1102
150,150,2026-07-06 11:41:00,A,1018
151,151,2026-01-20 05:56:00,A,1199
152,152,2025-06-30 12:15:00,C,1185
153,153,2024-11-20 18:58:00,A,1133
154,154,2025-10-24 08:07:00,A,1188
155,155,2025-11-13 16:09:00,A,1066
156,156,2024-06-01 05:30:00,A,1023
157,157,2024-06-15 19:45:00,B,1084
158,158,2026-02-07 22:27:00,A,1145
159,159,2026-03-12 10:07:00,A,1231
160,160,2024-09-05 04:49:00,C,1049
161,161,2025-04-20 08:27:00,A,1244
162,162,2024-07-28 06:42:00,C,1152
163,163,2026-09-28 10:06:00,A,1202
164,164,2026-06-04 15:54:00,C,1230
165,165,2025-08-20 06:37:00,C,1177
166,166,2025-12-23 12:42:00,A,1247
167,167,2026-06-08 12:02:00,C,1263
168,168,2025-02-25 17:46:00,A,1242
169,169,2026-06-13 11:26:00,C,1018
170,170,2026-02-04 00:28:00,C,1047
171,171,2024-11-26 06:32:00,A,1153
172,172,2024-07-15 15:03:00,A,1213
173,173,2024-06-28 19:36:00,A,1110
174,174,2026-06-15 10:32:00,C,1142
175,175,2024-03-23 23:42:00,C,1223
176,176,2024-11-25 05:09:00,A,1061
177,177,2025-01-04 14:37:00,C,1231
178,178,2026-07-27 01:13:00,B,1107
179,179,2026-01-27 18:26:00,B,1090
180,180,2025-09-12 20:02:00,A,1033
181,181,2025-09-09 18:33:00,C,1216
182,182,2026-07-09 15:15:00,A,1033
183,183,2024-12-01 23:50:00,C,1098
184,184,2024-10-16 06:08:00,C,1175
185,185,2025-01-04 15:42:00,A,1114
186,186,2024-11-17 08:12:00,C,1090
187,187,2025-09-20 03:56:00,A,1150
188,188,2026-03-26 07:48:00,B,1231
189,189,2024-10-28 02:02:00,A,1042
190,190,2024-12-04 05:47:00,C,1262
191,191,2025-05-28 08:26:00,A,1217
192,192,2025-07-09 10:21:00,B,1145
193,193,2026-07-06 07:08:00,C,1204
194,194,2025-03-29 05:52:00,C,1080
195,195,2025-07-22 19:26:00,A,1058
196,196,2024-08-24 21:47:00,A,1024
197,197,2024-04-29 13:21:00,C,1202
198,198,2024-11-09 22:14:00,A,1166
199,199,2024-03-15 01:48:00,C,1227
200,200,2024-12-15 19:34:00,A,1072
201,201,2025-12-09 01:40:00,A,1195
202,202,2024-08-23 14:58:00,A,1197
203,203,2024-12-20 00:29:00,C,1096
204,204,2026-05-24 22:17:00,C,1090
205,205,2024-06-04 15:11:00,C,1120
206,206,2025-11-14 04:48:00,A,1169
207,207,2026-01-31 20:55:00,A,1197
208,208,2024-12-04 22:10:00,C,1251
209,209,2026-06-05 13:14:00,A,1031
210,210,2026-08-17 05:31:00,C,1110
211,211,2025-02-22 06:58:00,C,1201
212,212,2024-11-15 10:12:00,C,1222
213,213,2026-06-09 03:50:00,C,1245
214,214,2024-06-19 14:58:00,C,1060
215,215,2025-09-05 21:54:00,C,1251
216,216,2025-12-05 23:13:00,B,1104
217,217,2024-06-11 17:40:00,A,1250
218,218,2024-03-31 13:32:00,C,1257
219,219,2024-08-29 05:03:00,A,1007
220,220,2026-07-29 14:32:00,A,1150
221,221,2024-05-28 18:22:00,C,1128
222,222,2024-08-12 21:47:00,A,1136
223,223,2025-09-19 19:49:00,C,1261
224,224,2024-11-04 07:08:00,A,1245
225,225,2024-11-27 11:30:00,A,1185
226,226,2024-05-30 01:39:00,A,1268
227,227,2025-10-24 15:13:00,A,1114
228,228,2026-02-18 23:40:00,C,1143
