ArrestSurrenderID,AccusedMasterID
1,80
2,81
3,82
3,83
4,84
4,85
5,89
6,90
7,94
8,96
8,97
9,99
10,101
10,102
11,103
12,105
12,106
13,108
14,110
14,111
15,112
15,113
16,114
16,115
17,116
18,119
18,120
19,121
20,123
21,125
22,126
22,127
23,130
23,131
24,132
24,133
25,137
25,138
26,139
26,140
27,143
28,146
29,147
30,148
30,149
31,154
31,155
32,156
33,157
33,158
34,160
34,161
35,162
36,163
37,164
37,165
38,167
38,168
39,170
39,171
40,173
40,174
41,175
41,176
42,178
43,179
44,180
44,181
45,182
46,184
47,185
48,187
49,189
50,192
50,193
51,195
52,198
53,199
53,200
54,201
54,202
55,205
55,206
56,212
56,213
57,215
58,218
58,219
59,221
60,223
61,225
61,226
62,231
62,232
63,233
64,235
64,236
65,238
65,239
66,240
66,241
67,242
67,243
68,247
68,248
69,249
69,250
70,252
71,261
71,262
72,264
73,265
74,267
75,269
75,270
76,271
77,272
77,273
78,274
79,281
79,282
80,283
81,284
82,288
83,289
83,290
84,292
85,294
86,296
87,303
87,304
88,307
89,312
90,313
90,314
91,316
92,322
92,323
93,324
93,325
94,327
95,328
96,329
96,330
97,331
98,332
99,333
100,334
101,335
102,337
102,338
103,340
104,342
105,343
106,344
106,345
107,349
108,350
108,351
109,354
110,355
111,357
112,358
112,359
113,364
113,365
114,366
114,367
115,369
115,370
116,373
117,374
118,377
118,378
119,384
119,385
120,387
121,388
122,389
123,390
124,394
124,395
125,396
126,398
126,399
127,400
128,401
129,403
130,405
130,406
131,407
132,408
133,409
134,411
134,412
135,413
136,414
136,415
137,417
137,418
138,419
139,420
139,421
140,422
141,424
141,425
142,428
143,429
143,430
144,431
145,432
146,434
147,438
147,439
148,440
148,441
149,443
149,444
150,445
150,446
151,447
151,448
152,449
153,455
154,456
154,457
155,464
155,465
156,466
157,467
158,468
158,469
159,470
160,472
161,475
161,476
162,477
162,478
163,479
164,480
165,483
166,484
167,485
167,486
168,487
168,488
169,489
169,490
170,494
171,495
171,496
172,498
173,501
174,508
174,509
175,513
175,514
176,516
177,517
178,522
179,524
180,525
180,526
181,529
182,530
182,531
183,532
184,536
185,538
186,541
186,542
187,543
188,547
189,548
189,549
190,551
191,553
192,557
192,558
193,560
194,567
195,570
196,572
197,574
198,576
198,577
199,578
199,579
200,581
200,582
201,593
201,594
202,597
203,600
204,601
204,602
205,605
205,606
206,612
207,613
207,614
208,620
208,621
209,622
209,623
210,627
211,629
212,632
212,633
213,634
214,635
214,636
215,637
216,638
217,641
218,644
218,645
219,646
220,647
220,648
221,649
222,652
223,653
223,654
224,657
224,658
225,659
226,664
226,665
227,666
228,667
229,668
230,669
230,670
231,672
232,678
232,679
233,680
234,683
234,684
235,685
236,687
237,696
238,699
239,700
240,702
240,703
241,704
242,706
243,707
243,708
244,709
244,710
245,712
246,713
247,715
247,716
248,723
249,731
250,732
250,733
251,734
252,739
253,743
254,744
254,745
255,750
255,751
256,752
257,754
258,757
258,758
259,759
259,760
260,761
261,763
261,764
262,765
262,766
263,771
264,772
265,776
265,777
266,778
267,779
267,780
268,785
269,786
269,787
270,788
271,791
272,795
272,796
273,797
273,798
274,799
274,800
275,802
276,812
276,813
277,814
277,815
278,820
278,821
279,822
280,825
281,827
282,828
283,831
283,832
284,834
284,835
285,837
285,838
286,840
287,842
287,843
288,845
289,846
289,847
290,848
290,849
291,858
291,859
292,860
293,861
294,862
294,863
295,864
296,865
296,866
297,868
298,869
298,870
299,871
299,872
300,877
301,879
302,881
302,882
303,886
304,888
305,890
305,891
306,892
307,893
307,894
308,897
308,898
309,899
310,901
310,902
311,905
311,906
312,908
312,909
313,910
313,911
314,912
315,917
315,918
316,922
316,923
317,924
318,925
318,926
319,928
320,936
320,937
321,943
321,944
322,945
322,946
323,947
324,948
324,949
325,950
325,951
326,954
327,957
327,958
328,959
328,960
329,962
329,963
330,965
330,966
331,967
332,970
332,971
333,978
333,979
334,980
334,981
335,983
335,984
336,985
336,986
337,987
337,988
338,992
339,993
339,994
340,996
341,997
341,998
342,999
342,1000
343,1006
343,1007
344,1008
344,1009
345,1013
346,1014
346,1015
347,1016
347,1017
348,1020
348,1021
349,1024
350,1025
350,1026
351,1027
351,1028
352,1037
353,1038
353,1039
354,1040
354,1041
355,1042
355,1043
356,1044
357,1048
358,1055
358,1056
359,1058
360,1061
360,1062
361,1065
361,1066
362,1067
362,1068
363,1069
363,1070
364,1071
365,1072
365,1073
366,1075
366,1076
367,1077
367,1078
368,1080
369,1081
369,1082
370,1083
370,1084
371,1086
372,1087
373,1090
373,1091
374,1098
375,1099
376,1109
377,1110
378,1112
379,1114
379,1115
380,1119
380,1120
381,1123
381,1124
